,date,sentiment_polarity,sentiment_subjectivity,word_count,total_words,no_articles
0,2000-06-03,0.0066521122555605276,0.43845723242274964,0.0,272.0,1
1,2000-07-12,0.12167929292929291,0.41573653198653204,0.0,243.0,1
2,2000-07-18,0.08530604591682431,0.5425970440072236,0.0,1047.0,1
3,2000-08-18,0.06505376344086021,0.32069892473118283,0.0,267.0,1
4,2000-11-09,0.22253439153439153,0.5892645502645503,0.0,139.0,1
5,2000-11-15,0.09866071428571428,0.5111066017316016,0.0,335.0,1
6,2001-08-02,0.1425619834710744,0.42066115702479334,0.0,171.0,1
7,2001-09-18,-0.025000000000000005,0.35833333333333334,0.0,84.0,1
8,2001-10-06,0.010862939742250081,0.37624521072796935,3.0,545.0,1
9,2001-10-11,0.059005718380718386,0.2734782672282673,4.0,355.5,2
10,2001-11-03,0.05333829365079366,0.4473015873015872,5.0,565.0,1
11,2001-11-29,0.060061825148032044,0.46004005572971096,2.0,517.0,1
12,2001-12-01,0.09453959888742497,0.39013321622017266,6.0,532.0,1
13,2002-01-17,0.06815563468789275,0.478625541125541,2.0,535.0,1
14,2002-03-07,0.043993993993994,0.3947447447447448,1.0,437.0,1
15,2002-03-31,0.07352092352092351,0.4146464646464645,6.0,414.0,1
16,2002-04-06,0.11344729344729344,0.41904066304066295,4.0,360.0,1
17,2002-05-24,0.10126984126984126,0.4671428571428572,0.0,103.0,1
18,2002-05-25,0.14821520287621978,0.4475346687211095,4.0,479.0,1
19,2002-08-31,0.13605416408987836,0.45960258562299383,7.0,518.0,1
20,2003-06-24,0.11174242424242424,0.43312289562289563,0.0,154.0,1
21,2003-06-25,0.125,0.4642857142857143,0.0,69.0,1
22,2003-08-20,0.05538140020898638,0.48134796238244515,0.0,218.0,1
23,2004-03-16,0.12187480869299051,0.4661876339149066,0.0,195.0,1
24,2004-05-08,0.07529761904761904,0.42083333333333345,3.0,241.0,1
25,2004-05-16,0.05352973007384772,0.4053425006366182,7.0,240.0,1
26,2004-05-18,0.11370370370370371,0.3981481481481481,0.0,291.0,1
27,2004-05-19,0.052481335090030744,0.35746596398770314,0.0,327.0,1
28,2004-06-25,0.04501262626262626,0.3524305555555556,0.0,168.0,1
29,2004-09-23,0.1405442675603966,0.31626344086021513,0.0,432.0,1
30,2005-01-06,0.08776683087027914,0.32352216748768475,0.0,171.0,1
31,2005-01-19,0.010269921436588099,0.418185465768799,3.0,636.0,1
32,2005-01-20,0.11820317840054682,0.5526572112098428,1.0,220.0,1
33,2005-02-09,0.031341991341991345,0.40162337662337666,0.0,204.0,1
34,2005-03-01,0.06830492424242425,0.35198863636363636,0.0,291.0,1
35,2005-03-14,0.018030118030118034,0.43456450956450965,0.0,251.0,1
36,2005-03-31,0.10982142857142857,0.36912202380952386,1.0,265.0,1
37,2005-04-11,0.0625,0.3782738095238095,0.0,206.0,1
38,2005-06-02,0.08367768595041322,0.49584481175390266,0.0,219.0,1
39,2005-08-09,0.0733672936259143,0.3576280041797283,0.0,218.0,1
40,2006-12-05,-0.021666666666666678,0.5607407407407408,0.0,373.0,1
41,2008-05-08,0.08944444444444444,0.5442857142857143,0.0,109.0,1
42,2008-05-31,0.07664385037761659,0.3909506006259254,0.0,505.0,1
43,2011-05-05,0.1444089888786859,0.3915600084539479,1.0,744.0,1
44,2011-05-26,0.0030005941770647622,0.3773767082590612,0.0,298.0,1
45,2011-06-10,0.1508246999913667,0.39009086592419945,1.0,869.0,1
46,2011-06-11,0.16748378638741773,0.4378308826493179,0.0,1618.0,1
47,2012-06-28,0.036805555555555564,0.2673611111111111,0.0,87.0,1
48,2012-07-13,0.13205387205387203,0.3562289562289562,0.0,86.0,1
49,2013-04-21,0.15293934788615637,0.41339458413926494,0.0,510.0,1
50,2015-03-20,0.14369865319865321,0.43370370370370376,0.0,272.0,1
51,2015-05-30,0.12555209108072546,0.4623552866614541,0.0,1408.0,1
52,2015-10-20,0.09929924242424244,0.4626641414141412,0.0,343.0,1
53,2016-05-25,0.13484567901234565,0.44457832291165633,0.0,778.0,1
54,2016-08-01,0.16926190476190478,0.41530952380952385,0.0,392.0,1
55,2016-08-25,-0.035783858998144714,0.46138940424654706,1.0,319.0,1
56,2016-08-31,0.1288671875,0.5174147727272725,0.0,387.0,1
57,2016-11-02,0.14485900249984757,0.5183182935999837,0.0,439.0,1
58,2017-12-30,0.06357518037518037,0.4041246198246196,0.0,704.0,1
59,2019-03-03,0.17367169052538367,0.5200590129567404,0.0,857.5,2
60,2019-05-15,0.18632709078361256,0.5762599598469161,0.0,341.0,1
61,2019-10-22,0.15664405964405964,0.46387919487919493,0.0,356.0,1
62,2019-10-27,0.05609000053444497,0.31842807398362954,0.0,170.0,1
63,2019-11-03,0.04242424242424242,0.43409641206251376,0.0,434.0,1
64,2019-11-06,0.17065077466393255,0.3709811022311022,0.0,547.0,1
65,2019-12-20,0.13515489718614718,0.49926880411255414,0.0,420.0,1
